service_uid,utility,utility_service_id,utility_service_address,utility_meter_number,utility_tariff_name,interval_start,interval_end,interval_kWh,interval_kW,source,updated,interval_timezone
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 16:00,10/09/2015 17:00,0.37560000000000004,0.37560000000000004,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.659835+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 15:00,10/09/2015 16:00,0.2262,0.2262,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.690468+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 14:00,10/09/2015 15:00,0.225,0.225,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.679937+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 13:00,10/09/2015 14:00,0.2718,0.2718,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.675132+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 12:00,10/09/2015 13:00,0.4122,0.4122,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.679687+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 11:00,10/09/2015 12:00,0.22740000000000002,0.22740000000000002,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.689195+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 10:00,10/09/2015 11:00,0.348,0.348,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.671902+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 09:00,10/09/2015 10:00,0.2766,0.2766,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.686982+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 08:00,10/09/2015 09:00,0.333,0.333,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.662375+00:00,US/Pacific
46646,PG&E,7378221270,"3665 18TH ST, SAN FRANCISCO, CA, 94110",,,10/09/2015 07:00,10/09/2015 08:00,0.0942,0.0942,2016-04-29-025703_04e73682-1091-4f4b-9a0e-761562723f2f,2016-04-29T02:57:06.683457+00:00,US/Pacific
